30, 30
17, 2, 1
17, 3, 1
17, 4, 2
17, 5, 2
17, 6, 1
17, 7, 2
17, 8, 1
17, 9, 1
17, 10, 2
17, 11, 2
17, 12, 1
17, 13, 2
17, 14, 2
17, 15, 1
17, 16, 1
17, 17, 2
17, 18, 1
17, 19, 2
17, 20, 2
17, 21, 1
17, 22, 1
17, 23, 2
17, 24, 2
17, 25, 1
17, 26, 2
17, 27, 2
17, 28, 2
17, 29, 2
18, 0, 1
18, 1, 2
18, 2, 2
18, 3, 1
18, 4, 2
18, 5, 2
18, 6, 2
18, 7, 1
18, 8, 2
18, 9, 1
18, 10, 1
18, 11, 1
18, 12, 1
18, 13, 1
18, 14, 2
18, 15, 2
18, 16, 2
18, 17, 1
18, 18, 1
18, 19, 1
18, 20, 1
18, 21, 2
18, 22, 1
18, 23, 2
18, 24, 2
18, 25, 1
18, 26, 1
18, 27, 2
18, 28, 2
18, 29, 2
19, 0, 1
19, 1, 1
19, 2, 1
19, 3, 1
19, 4, 2
19, 5, 1
19, 6, 2
19, 7, 1
19, 8, 1
19, 9, 1
19, 10, 2
19, 11, 1
19, 12, 2
19, 13, 2
19, 14, 2
19, 15, 1
19, 16, 1
19, 17, 1
19, 18, 2
19, 19, 1
19, 20, 2
19, 21, 2
19, 22, 1
19, 23, 2
19, 24, 1
19, 25, 2
19, 26, 2
19, 27, 2
19, 28, 2
19, 29, 1
20, 0, 1
20, 1, 2
20, 2, 2
20, 3, 2
20, 4, 1
20, 5, 1
20, 6, 2
20, 7, 2
20, 8, 2
20, 9, 2
20, 10, 1
20, 11, 2
20, 12, 2
20, 13, 2
20, 14, 2
20, 15, 2
20, 16, 1
20, 17, 2
20, 18, 2
20, 19, 1
20, 20, 1
20, 21, 2
20, 22, 1
20, 23, 1
20, 24, 2
20, 25, 2
20, 26, 2
20, 27, 1
20, 28, 1
20, 29, 2
21, 0, 1
21, 1, 1
21, 2, 2
21, 3, 2
21, 4, 1
21, 5, 2
21, 6, 2
21, 7, 1
21, 8, 1
21, 9, 1
21, 10, 2
21, 11, 2
21, 12, 1
21, 13, 2
21, 14, 1
21, 15, 2
21, 16, 1
21, 17, 2
21, 18, 1
21, 19, 1
21, 20, 2
21, 21, 2
21, 22, 1
21, 23, 2
21, 24, 1
21, 25, 1
21, 26, 2
21, 27, 2
21, 28, 1
21, 29, 2
22, 0, 2
22, 1, 2
22, 2, 1
22, 3, 2
22, 4, 1
22, 5, 1
22, 6, 1
22, 7, 1
22, 8, 1
22, 9, 2
22, 10, 1
22, 11, 2
22, 12, 1
22, 13, 2
22, 14, 2
22, 15, 2
22, 16, 1
22, 17, 2
22, 18, 2
22, 19, 1
22, 20, 2
22, 21, 1
22, 22, 2
22, 23, 1
22, 24, 2
22, 25, 1
22, 26, 2
22, 27, 2
22, 28, 2
22, 29, 2
23, 0, 2
23, 1, 1
23, 2, 1
23, 3, 1
23, 4, 1
23, 5, 2
23, 6, 2
23, 7, 2
23, 8, 2
23, 9, 1
23, 10, 1
23, 11, 2
23, 12, 1
23, 13, 1
23, 14, 2
23, 15, 2
23, 16, 1
23, 17, 2
23, 18, 1
23, 19, 2
23, 20, 2
23, 21, 1
23, 22, 2
23, 23, 1
23, 24, 1
23, 25, 1
23, 26, 1
23, 27, 1
23, 28, 2
23, 29, 2
24, 0, 1
24, 1, 1
24, 2, 2
24, 3, 2
24, 4, 2
24, 5, 2
24, 6, 2
24, 7, 2
24, 8, 1
24, 9, 2
24, 10, 2
24, 11, 1
24, 12, 2
24, 13, 1
24, 14, 2
24, 15, 2
24, 16, 2
24, 17, 1
24, 18, 2
24, 19, 2
24, 20, 1
24, 21, 1
24, 22, 2
24, 23, 1
24, 24, 1
24, 25, 1
24, 26, 1
24, 27, 2
24, 28, 1
24, 29, 2
25, 0, 1
25, 1, 1
25, 2, 1
25, 3, 1
25, 4, 2
25, 5, 1
25, 6, 2
25, 7, 2
25, 8, 2
25, 9, 2
25, 10, 1
25, 11, 2
25, 12, 2
25, 13, 2
25, 14, 2
25, 15, 2
25, 16, 1
25, 17, 1
25, 18, 1
25, 19, 2
25, 20, 1
25, 21, 2
25, 22, 2
25, 23, 2
25, 24, 1
25, 25, 1
25, 26, 2
25, 27, 2
25, 28, 1
25, 29, 1
26, 0, 2
26, 1, 2
26, 2, 1
26, 3, 2
26, 4, 2
26, 5, 2
26, 6, 2
26, 7, 2
26, 8, 2
26, 9, 1
26, 10, 1
26, 11, 1
26, 12, 2
26, 13, 1
26, 14, 1
26, 15, 2
26, 16, 1
26, 17, 1
26, 18, 2
26, 19, 2
26, 20, 1
26, 21, 1
26, 22, 2
26, 23, 1
26, 24, 2
26, 25, 2
26, 26, 2
26, 27, 1
26, 28, 2
26, 29, 1
27, 0, 1
27, 1, 2
27, 2, 1
27, 3, 2
27, 4, 2
27, 5, 2
27, 6, 1
27, 7, 2
27, 8, 1
27, 9, 2
27, 10, 1
27, 11, 2
27, 12, 1
27, 13, 1
27, 14, 2
27, 15, 2
27, 16, 1
27, 17, 1
27, 18, 1
27, 19, 1
27, 20, 2
27, 21, 2
27, 22, 2
27, 23, 2
27, 24, 1
27, 25, 1
27, 26, 2
27, 27, 2
27, 28, 1
27, 29, 1
28, 0, 1
28, 1, 2
28, 2, 2
28, 3, 2
28, 4, 1
28, 5, 1
28, 6, 1
28, 7, 1
28, 8, 1
28, 9, 2
28, 10, 1
28, 11, 1
28, 12, 2
28, 13, 2
28, 14, 1
28, 15, 2
28, 16, 1
28, 17, 1
28, 18, 2
28, 19, 2
28, 20, 1
28, 21, 1
28, 22, 1
28, 23, 2
28, 24, 1
28, 25, 1
28, 26, 2
28, 27, 1
28, 28, 1
28, 29, 1
29, 0, 2
29, 1, 1
29, 2, 2
29, 3, 2
29, 4, 2
29, 5, 1
29, 6, 1
29, 7, 2
29, 8, 1
29, 9, 2
29, 10, 1
29, 11, 1
29, 12, 1
29, 13, 1
29, 14, 1
29, 15, 1
29, 16, 2
29, 17, 2
29, 18, 2
29, 19, 2
29, 20, 1
29, 21, 2
29, 22, 1
29, 23, 1
29, 24, 1
29, 25, 1
29, 26, 2
29, 27, 1
29, 28, 1
29, 29, 1
